AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221019_C7B0CE1462,FALTER_20211222_40076C3AB9,FALTER_20220518_B804602C3C,FALTER_20220427_B1DE446313,FALTER_20220427_B1DE446313,FALTER_20211222_40076C3AB9
FALTER_20221109_BD80F5AFA7,FALTER_20221123_FB5278B53E,FALTER_20220907_E1CBB33DF0,FALTER_20220112_E00A9069A5,FALTER_20221109_BD80F5AFA7,FALTER_20220907_E1CBB33DF0
FALTER_20211215_AF0C90B712,FALTER_20220216_6AA6C74CE3,FALTER_20220928_B1D3800E23,FALTER_20220119_3950CABE72,FALTER_20220928_B1D3800E23,FALTER_20220216_6AA6C74CE3
FALTER_20221005_8731284309,FALTER_20221109_785B539D38,FALTER_20220504_1D4E1E874B,FALTER_20221123_FB5278B53E,FALTER_20220504_1D4E1E874B,FALTER_20221109_785B539D38
FALTER_20220907_E1CBB33DF0,FALTER_20220518_B804602C3C,FALTER_20220216_6AA6C74CE3,FALTER_20211215_AF0C90B712,FALTER_20211215_AF0C90B712,FALTER_20220216_6AA6C74CE3
FALTER_20220119_3950CABE72,FALTER_20221109_BD80F5AFA7,FALTER_20220427_B1DE446313,FALTER_20211222_40076C3AB9,FALTER_20221109_BD80F5AFA7,FALTER_20211222_40076C3AB9
FALTER_20220112_E00A9069A5,FALTER_20221005_8731284309,FALTER_20220928_B1D3800E23,FALTER_20221019_C7B0CE1462,FALTER_20220112_E00A9069A5,FALTER_20221019_C7B0CE1462
FALTER_20221109_785B539D38,FALTER_20220504_1D4E1E874B,FALTER_20211222_40076C3AB9,FALTER_20220119_3950CABE72,FALTER_20220504_1D4E1E874B,FALTER_20211222_40076C3AB9
FALTER_20221123_FB5278B53E,FALTER_20220518_B804602C3C,FALTER_20221109_785B539D38,FALTER_20220112_E00A9069A5,FALTER_20221123_FB5278B53E,FALTER_20220518_B804602C3C
FALTER_20211215_AF0C90B712,FALTER_20220427_B1DE446313,FALTER_20221019_C7B0CE1462,FALTER_20220928_B1D3800E23,FALTER_20220928_B1D3800E23,FALTER_20221019_C7B0CE1462
FALTER_20221109_BD80F5AFA7,FALTER_20221005_8731284309,FALTER_20220907_E1CBB33DF0,FALTER_20220216_6AA6C74CE3,FALTER_20221005_8731284309,FALTER_20220216_6AA6C74CE3
FALTER_20220504_1D4E1E874B,FALTER_20220928_B1D3800E23,FALTER_20221109_785B539D38,FALTER_20220112_E00A9069A5,FALTER_20220504_1D4E1E874B,FALTER_20221109_785B539D38
FALTER_20220427_B1DE446313,FALTER_20221019_C7B0CE1462,FALTER_20211215_AF0C90B712,FALTER_20221005_8731284309,FALTER_20221005_8731284309,FALTER_20211215_AF0C90B712
FALTER_20220504_1D4E1E874B,FALTER_20220216_6AA6C74CE3,FALTER_20221109_BD80F5AFA7,FALTER_20220518_B804602C3C,FALTER_20220504_1D4E1E874B,FALTER_20220216_6AA6C74CE3
FALTER_20211222_40076C3AB9,FALTER_20220119_3950CABE72,FALTER_20220907_E1CBB33DF0,FALTER_20221123_FB5278B53E,FALTER_20221123_FB5278B53E,FALTER_20211222_40076C3AB9
FALTER_20221019_C7B0CE1462,FALTER_20220518_B804602C3C,FALTER_20221123_FB5278B53E,FALTER_20220119_3950CABE72,FALTER_20221123_FB5278B53E,FALTER_20220518_B804602C3C
FALTER_20220112_E00A9069A5,FALTER_20220907_E1CBB33DF0,FALTER_20211222_40076C3AB9,FALTER_20220504_1D4E1E874B,FALTER_20220504_1D4E1E874B,FALTER_20211222_40076C3AB9
FALTER_20220427_B1DE446313,FALTER_20221109_BD80F5AFA7,FALTER_20221109_785B539D38,FALTER_20220216_6AA6C74CE3,FALTER_20221109_BD80F5AFA7,FALTER_20220216_6AA6C74CE3
FALTER_20220928_B1D3800E23,FALTER_20221005_8731284309,FALTER_20211215_AF0C90B712,FALTER_20220112_E00A9069A5,FALTER_20220112_E00A9069A5,FALTER_20211215_AF0C90B712
FALTER_20220119_3950CABE72,FALTER_20221019_C7B0CE1462,FALTER_20221005_8731284309,FALTER_20211215_AF0C90B712,FALTER_20220119_3950CABE72,FALTER_20211215_AF0C90B712
FALTER_20221109_785B539D38,FALTER_20220907_E1CBB33DF0,FALTER_20220216_6AA6C74CE3,FALTER_20220928_B1D3800E23,FALTER_20220928_B1D3800E23,FALTER_20220216_6AA6C74CE3
FALTER_20221123_FB5278B53E,FALTER_20220427_B1DE446313,FALTER_20220504_1D4E1E874B,FALTER_20221109_BD80F5AFA7,FALTER_20220504_1D4E1E874B,FALTER_20220427_B1DE446313
FALTER_20220518_B804602C3C,FALTER_20211222_40076C3AB9,FALTER_20221109_785B539D38,FALTER_20211215_AF0C90B712,FALTER_20221109_785B539D38,FALTER_20211222_40076C3AB9
FALTER_20220112_E00A9069A5,FALTER_20220518_B804602C3C,FALTER_20220427_B1DE446313,FALTER_20221109_BD80F5AFA7,FALTER_20221109_BD80F5AFA7,FALTER_20220518_B804602C3C
FALTER_20221005_8731284309,FALTER_20220504_1D4E1E874B,FALTER_20220119_3950CABE72,FALTER_20220216_6AA6C74CE3,FALTER_20220504_1D4E1E874B,FALTER_20220216_6AA6C74CE3
FALTER_20220907_E1CBB33DF0,FALTER_20221019_C7B0CE1462,FALTER_20211222_40076C3AB9,FALTER_20221123_FB5278B53E,FALTER_20221123_FB5278B53E,FALTER_20211222_40076C3AB9
FALTER_20220928_B1D3800E23,FALTER_20220427_B1DE446313,FALTER_20211222_40076C3AB9,FALTER_20221005_8731284309,FALTER_20220928_B1D3800E23,FALTER_20211222_40076C3AB9
FALTER_20220216_6AA6C74CE3,FALTER_20220112_E00A9069A5,FALTER_20220504_1D4E1E874B,FALTER_20221019_C7B0CE1462,FALTER_20220504_1D4E1E874B,FALTER_20220216_6AA6C74CE3
FALTER_20220907_E1CBB33DF0,FALTER_20221123_FB5278B53E,FALTER_20220928_B1D3800E23,FALTER_20220119_3950CABE72,FALTER_20221123_FB5278B53E,FALTER_20220907_E1CBB33DF0
FALTER_20221109_BD80F5AFA7,FALTER_20221109_785B539D38,FALTER_20220518_B804602C3C,FALTER_20211215_AF0C90B712,FALTER_20221109_BD80F5AFA7,FALTER_20221109_785B539D38
